tekbus,0.0,0.0,-7.0,1
vitemukr17,0.0,0.0,0.0,2
safariesmail,0.0,0.0,-6.0,1
sydney2013,0.0,0.0,41.0,1
el-encuelador,0.0,0.0,-10.0,1
Over_doze,0.0,0.0,-4.0,1
agopyan,0.0,0.0,-5.0,1
ivan9977,0.0,0.0,-8.0,1
jorabidom,0.0,0.0,0.0,2
Mr_Stamkos,0.0,0.0,8.0,1
starplatinum1,0.0,0.0,50.0,1
kisakakotg,0.0,0.0,-7.0,1
SvenIngvar,0.0,0.0,6.0,1
finjm,0.0,0.0,8.0,1
S8JosepheSs,0.0,0.0,-40.0,1
GoBerserkYouNoob,0.0,0.0,-1.0,1
shoheed-ahmed,0.0,0.0,-10.0,1
masel030,0.0,0.0,11.0,1
DerSuperMarv,0.0,0.0,-13.0,1
MakArtKar,0.0,0.0,6.0,1
ObolonkoffSergey,0.0,0.0,-6.0,1
vikinguero,0.0,0.0,9.0,1
Nikolai_75,0.0,0.0,-5.0,1
vahid-aa85,0.0,0.0,-5.0,1
SerVanger,0.0,0.0,6.0,1
Shayansivosh,0.0,0.0,7.0,1
shacke,0.0,0.0,5.0,1
Endre111,0.0,0.0,-12.0,1
DooberyFerkin96,0.0,0.0,6.0,1
lonesomebanana,0.0,0.0,21.0,1
deereeco,0.0,0.0,-35.0,1
trackz,0.0,0.0,-15.0,1
Dondiego95270,0.0,0.0,-4.0,1
JoRemm,0.0,0.0,8.0,1
Blackned0710,0.0,0.0,7.0,1
bigger,0.0,0.0,-5.0,1
slavkooo2,0.0,0.0,-6.0,1
zzz34,0.0,0.0,-6.5,2
Mohl_ala,0.0,0.0,6.0,1
PaulanerSpezi93,0.0,0.0,-6.0,1
zentralkaiser,0.0,0.0,0.5,2
CHESSWARRIOR4X,0.0,0.0,18.0,1
JbNegreiros,0.0,0.0,-6.0,1
zviomaster-nini,0.0,0.0,-3.0,1
ixDelol,0.0,0.0,5.0,1
danilo220066,0.0,0.0,12.0,1
FredericoFilomeno,0.0,0.0,-3.0,1
Mubarakdanyaro,0.0,0.0,-4.0,1
shadowminchik,0.0,0.0,-9.0,1
IvanTryf,0.0,0.0,-7.0,1
elplegue,0.0,0.0,-7.0,1
moein_kermani,0.0,0.0,5.0,1
Dees123,0.0,0.0,9.0,1
Kiborg1997,0.0,0.0,-3.0,1
valeri1954,0.0,0.0,-6.0,1
akashkmenon,0.0,0.0,-6.0,1
holak,0.0,0.0,7.0,1
Mitomano,0.0,0.0,-6.0,1
BeatusCor,0.0,0.0,0.0,2
stagiraldoce,0.0,0.0,-5.0,1
KyneAng,0.0,0.0,-12.0,1
Izmalkov_Pavel,0.0,0.0,5.0,1
Nik68t,0.0,0.0,6.0,1
TMUnoel0219,0.0,0.0,15.0,1
snegovik1983,0.0,0.0,-6.0,1
patpat123,0.0,0.0,10.0,1
AntoineDiaz1010,0.0,0.0,-23.0,1
Dew2011,0.0,0.0,-1.0,1
jmb04,0.0,0.0,6.0,1
RealistDreamer,0.0,0.0,5.0,1
Lexakip,0.0,0.0,-5.0,1
Evermean,0.0,0.0,0.0,2
DDDXtremer,0.0,0.0,-6.0,1
pudimEtrovoes,0.0,0.0,-4.0,1
astavakrasana,0.0,0.0,44.0,1
Eilif05,0.0,0.0,25.0,1
SurajPotekar,0.0,0.0,7.0,1
Yatagarasu513,0.0,0.0,5.0,1
MartinNzbd,0.0,0.0,-6.0,1
deuof,0.0,0.0,-7.0,1
kaihagenlange,0.0,0.0,-7.0,1
rumham4dinna,0.0,0.0,-5.0,1
